Fecha|Total
2020-08-09|0.0
2020-08-10|7355.849999999999
2020-08-11|3737.0
2020-08-12|0.0
2020-08-13|6829.4400000000005
2020-08-14|32946.7
2020-08-15|0.0
2020-08-16|0.0
2020-08-17|27040.51
2020-08-18|4780.57
2020-08-19|0.0
2020-08-20|0.0
2020-08-21|2600.0
2020-08-22|0.0
2020-08-23|0.0
2020-08-24|9560.08
2020-08-25|0.0
2020-08-26|2321.9
2020-08-27|3789.71
2020-08-28|0.0
2020-08-29|0.0
2020-08-30|0.0
2020-08-31|3844.79
2020-09-01|55568.6
2020-09-02|2272.31
2020-09-03|12852.27
2020-09-04|5538.8
2020-09-05|0.0
2020-09-06|0.0
2020-09-07|1076.31
2020-09-08|7251.7
2020-09-09|0.0
2020-09-10|0.0
2020-09-11|5090.99
2020-09-12|0.0
2020-09-13|0.0
2020-09-14|5418.1
2020-09-15|5816.3
2020-09-16|0.0
2020-09-17|0.0
2020-09-18|0.0
2020-09-19|0.0
2020-09-20|0.0
2020-09-21|5576.21
2020-09-22|10932.42
2020-09-23|0.0
2020-09-24|17694.69
2020-09-25|0.0
2020-09-26|0.0
2020-09-27|0.0
2020-09-28|3285.61
2020-09-29|1871.5700000000002
2020-09-30|20761.11
2020-10-01|4502.9
2020-10-02|35947.24
2020-10-03|0.0
2020-10-04|0.0
2020-10-05|2321.9
2020-10-06|4529.219999999999
2020-10-07|1196.0
2020-10-08|6368.1
2020-10-09|4421.17
2020-10-10|0.0
2020-10-11|0.0
2020-10-12|2791.5
2020-10-13|19982.510000000002
2020-10-14|7381.68
2020-10-15|4186.0
2020-10-16|1196.0
2020-10-17|0.0
2020-10-18|0.0
2020-10-19|0.0
2020-10-20|5626.49
2020-10-21|5036.41
2020-10-22|0.0
2020-10-23|4066.8
2020-10-24|0.0
2020-10-25|0.0
2020-10-26|4643.8
2020-10-27|2778.9
2020-10-28|1422.6
2020-10-29|0.0
2020-10-30|0.0
2020-10-31|0.0
2020-11-01|0.0
2020-11-02|12164.22
2020-11-03|5744.62
2020-11-04|39344.08
2020-11-05|3970.0
2020-11-06|2052.15
2020-11-07|0.0
2020-11-08|0.0
2020-11-09|0.0
2020-11-10|4089.0
2020-11-11|0.0
2020-11-12|11233.29
2020-11-13|0.0
2020-11-14|0.0
2020-11-15|0.0
2020-11-16|0.0
2020-11-17|9249.27
2020-11-18|1196.0
2020-11-19|0.0
2020-11-20|1345.55
2020-11-21|0.0
2020-11-22|0.0
2020-11-23|8467.0
2020-11-24|10061.900000000001
2020-11-25|1345.55
2020-11-26|2400.0
2020-11-27|0.0
2020-11-28|0.0
2020-11-29|0.0
2020-11-30|5909.04
2020-12-01|38042.41
2020-12-02|21582.31
2020-12-03|4202.52
2020-12-04|2237.99
2020-12-05|0.0
2020-12-06|0.0
2020-12-07|2308.08
2020-12-08|0.0
2020-12-09|1195.9
2020-12-10|16620.469999999998
2020-12-11|0.0
2020-12-12|0.0
2020-12-13|0.0
2020-12-14|5498.07
2020-12-15|4876.29
2020-12-16|11659.4
2020-12-17|1196.0
2020-12-18|9005.8
2020-12-19|0.0
2020-12-20|0.0
2020-12-21|0.0
2020-12-22|8384.0
2020-12-23|0.0
2020-12-24|0.0
2020-12-25|0.0
2020-12-26|0.0
2020-12-27|0.0
2020-12-28|2368.33
2020-12-29|10342.220000000001
2020-12-30|0.0
2020-12-31|0.0
2021-01-01|0.0
2021-01-02|0.0
2021-01-03|0.0
2021-01-04|45788.62
2021-01-05|9974.4
2021-01-06|0.0
2021-01-07|1033.0
2021-01-08|8425.94
2021-01-09|0.0
2021-01-10|0.0
2021-01-11|1966.27
2021-01-12|1016.52
2021-01-13|5200.0
2021-01-14|13616.57
2021-01-15|12476.130000000001
2021-01-16|0.0
2021-01-17|0.0
2021-01-18|61088.68
2021-01-19|3947.24
2021-01-20|2419.54
2021-01-21|15500.55
2021-01-22|0.0
2021-01-23|0.0
2021-01-24|0.0
2021-01-25|3350.0
2021-01-26|2391.8
2021-01-27|609.59
2021-01-28|10870.6
2021-01-29|13570.349999999999
2021-01-30|0.0
2021-01-31|0.0
2021-02-01|0.0
2021-02-02|43686.9
2021-02-03|63908.82
2021-02-04|0.0
2021-02-05|1118.94
2021-02-06|0.0
2021-02-07|0.0
2021-02-08|10142.73
2021-02-09|33904.69
2021-02-10|19868.73
2021-02-11|7924.280000000001
2021-02-12|2321.9
2021-02-13|0.0
2021-02-14|0.0
2021-02-15|15020.08
2021-02-16|1878.27
2021-02-17|0.0
2021-02-18|0.0
2021-02-19|0.0
2021-02-20|0.0
2021-02-21|0.0
2021-02-22|3678.31
2021-02-23|0.0
2021-02-24|773.96
2021-02-25|8865.35
2021-02-26|3672.7200000000003
2021-02-27|0.0
2021-02-28|0.0
2021-03-01|81884.59
2021-03-02|3589.55
2021-03-03|9136.45
2021-03-04|1040.0
2021-03-05|0.0
2021-03-06|0.0
2021-03-07|0.0
2021-03-08|1118.0
2021-03-09|0.0
2021-03-10|0.0
2021-03-11|13488.77
2021-03-12|0.0
2021-03-13|0.0
2021-03-14|0.0
2021-03-15|0.0
2021-03-16|598.0
2021-03-17|87.3
2021-03-18|533.76
2021-03-19|0.0
